Career_Path,Python_Skill,Java_Skill,JavaScript_Skill,SQL_Skill,C++_Skill,R_Skill,Machine_Learning_Skill,Deep_Learning_Skill,NLP_Skill,Computer_Vision_Skill,React_Skill,Node.js_Skill,Django_Skill,FastAPI_Skill,Docker_Skill,AWS_Skill,Azure_Skill,GCP_Skill,Kubernetes_Skill,Terraform_Skill,TensorFlow_Skill,PyTorch_Skill,Scikit-learn_Skill,Pandas_Skill,NumPy_Skill,System_Design_Skill,Data_Structures_Skill,Algorithms_Skill,Statistics_Skill,Linear_Algebra_Skill,CGPA,Experience_Years,Primary_Interest,Secondary_Interest,Personality_Type,Education_Level,Certifications,Projects_Completed,GitHub_Repos,Hackathons,Internships,Expected_Salary,Job_Market_Demand,Satisfaction_Score
DevOps Engineer,8,4,2,1,3,4,1,1,2,4,1,3,3,2,9,6,5,3,8,10,2,2,3,1,6,8,2,5,4,4,8.37,3,Cybersecurity,Data Analytics,Creative,B.Sc,0,13,1,3,2,240000,10,60
DevOps Engineer,8,1,4,3,2,2,1,4,4,2,3,4,2,7,10,7,3,4,9,9,1,1,3,1,3,8,2,5,3,4,7.06,0,Web Development,Mobile Apps,Collaborative,BCA,0,6,20,2,0,260000,6,82
Mobile Developer,3,8,6,5,7,1,2,1,1,1,8,1,7,1,1,3,1,1,2,1,6,5,2,3,2,2,8,5,7,4,8.59,3,IoT,Data Analytics,Detail-oriented,B.Tech,1,8,24,2,3,100000,10,93
Cloud Architect,3,4,6,4,7,4,2,1,4,1,2,5,4,1,8,10,7,9,8,8,5,5,1,7,4,10,5,3,1,1,8.41,0,Data Analytics,AR/VR,Analytical,BCA,3,4,21,2,2,50000,5,69
Blockchain Developer,5,5,8,6,8,3,1,5,2,7,2,4,4,2,1,6,3,4,5,4,2,2,1,3,1,4,8,8,1,1,8.88,0,IoT,AR/VR,Collaborative,M.Tech,2,13,31,6,2,210000,8,66
Product Manager,4,3,1,5,3,3,2,3,3,1,7,2,3,6,1,1,1,6,5,3,1,2,7,3,1,9,1,6,5,1,6.68,2,Web Development,AR/VR,Analytical,BCA,6,15,31,10,2,60000,10,94
Mobile Developer,5,8,9,1,5,2,5,1,1,5,9,4,2,6,6,4,4,2,3,7,7,1,3,1,1,2,8,6,5,1,6.35,4,IoT,Data Analytics,Leadership,BCA,8,14,0,9,3,70000,8,69
AI/ML Engineer,10,3,3,1,5,4,10,10,6,8,3,7,2,4,1,4,1,3,3,2,8,10,3,6,1,3,5,5,3,1,7.24,4,IoT,Mobile Apps,Innovative,M.Sc,0,5,12,3,0,110000,5,89
Data Scientist,8,3,6,6,1,4,10,8,7,3,2,1,2,1,4,1,2,6,1,3,9,1,5,9,9,4,2,4,10,6,6.41,4,Blockchain,Data Analytics,Collaborative,M.Sc,4,9,43,1,3,60000,7,77
DevOps Engineer,7,2,4,1,6,2,2,3,5,2,7,2,4,4,9,10,2,2,9,8,1,2,2,4,3,8,2,2,7,3,7.89,1,Data Analytics,Web Development,Collaborative,M.Tech,8,9,26,0,1,80000,6,81
Mobile Developer,6,8,6,4,2,1,4,1,4,2,9,5,5,5,1,4,1,5,1,1,2,2,2,7,2,1,7,9,7,4,9.55,1,Blockchain,AR/VR,Leadership,B.Sc,2,12,1,3,1,270000,6,73
Data Scientist,10,1,1,8,7,3,7,5,2,5,3,4,1,1,2,5,7,3,3,3,5,2,4,9,7,4,2,3,8,4,6.94,0,Web Development,Web Development,Innovative,MCA,7,4,5,8,0,270000,10,66
Cybersecurity Analyst,8,6,2,1,7,3,2,1,1,2,4,5,1,2,2,5,4,5,1,1,1,6,6,3,6,10,6,9,2,2,6.25,5,Blockchain,AI/ML,Collaborative,MCA,8,7,42,5,0,170000,10,75
Product Manager,6,4,3,6,6,4,2,2,3,3,4,5,1,5,6,2,4,2,1,5,3,3,3,5,7,9,3,1,7,7,8.4,5,Blockchain,AR/VR,Analytical,B.Tech,3,0,21,5,2,210000,9,83
Full Stack Developer,5,3,7,9,1,2,3,2,2,3,10,10,6,4,5,6,6,4,4,1,6,5,6,6,2,4,4,1,6,5,9.37,4,Blockchain,Data Analytics,Collaborative,B.Sc,3,6,39,4,2,250000,6,71
UI/UX Designer,3,1,8,7,6,4,3,1,3,1,8,2,2,1,4,1,2,7,4,3,5,2,5,5,1,2,6,2,7,4,9.1,1,Cloud Computing,AR/VR,Creative,MCA,1,5,11,8,0,160000,5,87
Cybersecurity Analyst,7,5,5,1,6,1,5,3,4,7,1,5,1,3,4,6,6,1,1,3,3,4,6,3,1,7,9,6,4,2,7.03,5,Cloud Computing,AI/ML,Innovative,BCA,8,14,31,0,2,240000,6,80
UI/UX Designer,1,4,5,1,3,1,6,1,2,1,6,1,5,3,2,5,5,4,2,3,3,3,1,5,1,5,1,5,3,3,8.13,1,IoT,Data Analytics,Leadership,MCA,2,9,43,10,2,40000,9,95
AI/ML Engineer,7,3,6,7,1,2,10,8,7,10,2,1,3,6,3,1,1,4,4,2,7,10,1,4,4,5,4,7,3,3,6.02,1,Cybersecurity,IoT,Leadership,BCA,2,10,30,7,3,150000,7,91
UI/UX Designer,2,3,6,4,1,1,3,7,6,1,8,7,3,4,4,2,6,3,4,3,4,4,3,1,7,3,1,3,3,3,6.94,5,Cybersecurity,Data Analytics,Leadership,M.Tech,7,14,2,0,2,70000,10,93
Cybersecurity Analyst,9,8,3,4,5,5,3,6,3,5,3,4,3,1,5,1,1,5,1,4,2,5,4,3,1,7,9,7,3,4,6.22,2,Mobile Apps,Data Analytics,Detail-oriented,M.Sc,0,9,5,3,3,230000,8,90
AI/ML Engineer,10,4,4,7,2,4,10,8,9,6,1,7,3,3,3,7,3,3,2,4,7,10,4,3,3,5,5,3,3,4,9.06,0,Cloud Computing,Product Design,Innovative,M.Tech,4,6,0,0,0,200000,5,84
Cloud Architect,4,1,3,5,5,6,5,4,3,7,3,5,6,3,9,8,7,7,8,10,5,3,3,1,3,10,1,2,1,3,8.9,3,Product Design,Data Analytics,Leadership,MCA,0,5,40,7,3,40000,6,93
Cybersecurity Analyst,5,8,4,4,7,1,1,4,4,6,4,1,3,5,5,3,4,3,6,1,3,3,3,5,1,8,9,9,6,3,9.03,3,AR/VR,Product Design,Analytical,M.Tech,1,8,4,6,1,250000,10,74
DevOps Engineer,7,7,1,2,2,1,4,4,2,5,1,3,1,2,8,10,2,1,10,7,3,4,5,6,4,10,4,4,1,6,7.91,4,AI/ML,Data Analytics,Leadership,M.Tech,2,14,7,8,3,140000,10,60
Data Scientist,10,3,3,8,4,2,10,7,2,5,3,3,4,3,4,4,1,4,5,1,8,1,5,10,8,4,5,3,7,1,6.86,2,AR/VR,Web Development,Detail-oriented,MCA,5,8,23,5,2,150000,5,86
Full Stack Developer,8,4,10,7,3,6,2,6,4,1,10,10,5,5,6,3,3,6,4,5,6,3,1,1,1,1,2,1,6,1,9.08,4,Web Development,Web Development,Leadership,M.Sc,2,2,41,6,2,110000,6,78
Product Manager,4,4,1,7,5,5,6,4,4,6,6,7,3,6,1,4,4,2,1,3,2,4,3,5,1,8,4,3,6,6,7.75,1,Mobile Apps,IoT,Detail-oriented,B.Sc,4,2,27,10,1,200000,9,77
Cybersecurity Analyst,7,5,1,2,8,6,5,3,1,1,3,1,3,3,1,1,2,2,4,4,2,1,1,4,3,7,7,6,1,5,6.99,0,Cybersecurity,AR/VR,Collaborative,B.Tech,8,6,30,6,2,140000,6,100
Data Scientist,10,1,4,8,1,1,9,6,5,2,1,3,6,2,1,3,3,1,1,4,6,3,5,10,6,4,2,2,10,5,8.79,1,Product Design,Mobile Apps,Innovative,BCA,5,14,17,9,1,60000,9,69
Product Manager,5,5,2,8,1,5,4,1,6,4,6,4,3,4,1,3,1,1,1,3,1,6,6,7,1,7,3,1,5,2,7.44,5,IoT,Blockchain,Collaborative,B.Tech,4,1,46,1,2,60000,6,93
Full Stack Developer,5,6,8,6,4,7,2,5,5,1,10,10,6,8,7,5,3,5,5,4,4,6,3,5,2,1,3,4,1,2,6.86,2,AI/ML,Cloud Computing,Innovative,M.Sc,8,4,6,0,3,150000,6,68
Cybersecurity Analyst,9,5,3,3,9,1,4,3,3,5,3,2,1,4,2,4,2,1,3,5,4,5,1,2,6,10,6,8,3,2,6.33,4,AI/ML,Data Analytics,Detail-oriented,BCA,1,12,32,6,1,280000,6,90
UI/UX Designer,4,6,9,7,1,1,4,3,2,4,7,3,3,2,5,6,3,1,2,1,1,4,2,1,1,5,1,4,4,7,9.0,4,AR/VR,Product Design,Collaborative,B.Sc,0,12,37,10,0,120000,6,63
Cybersecurity Analyst,9,4,2,2,7,1,4,3,3,4,7,1,4,6,1,4,3,5,1,3,3,4,1,4,3,7,7,7,2,7,9.49,5,Cybersecurity,IoT,Creative,M.Sc,2,13,19,9,2,180000,9,68
Cloud Architect,4,4,2,4,3,4,1,7,1,2,1,5,4,2,7,8,10,8,10,8,4,1,1,3,7,9,3,5,1,1,6.13,0,Cloud Computing,IoT,Creative,MCA,3,6,4,2,3,230000,8,80
Product Manager,6,2,6,8,7,7,3,3,5,1,7,2,6,3,2,5,3,3,4,3,4,5,3,1,7,9,4,2,8,4,9.53,0,Cloud Computing,Blockchain,Collaborative,MCA,2,3,5,1,3,240000,7,65
UI/UX Designer,5,4,9,2,2,4,1,1,4,4,7,1,1,5,2,5,3,6,1,6,5,2,7,1,5,7,1,1,5,1,9.42,5,Product Design,Product Design,Leadership,BCA,1,1,6,6,1,90000,10,78
Blockchain Developer,9,4,10,1,8,3,2,6,1,3,1,5,6,1,3,7,3,6,4,5,5,7,2,7,6,5,10,9,1,1,7.86,0,Cybersecurity,Product Design,Detail-oriented,M.Tech,0,10,22,8,1,40000,10,72
Cybersecurity Analyst,5,6,7,1,7,4,7,1,2,4,2,3,3,5,5,3,5,5,3,4,3,1,1,4,4,10,6,6,3,1,7.66,3,Cybersecurity,Blockchain,Detail-oriented,BCA,3,9,11,1,2,290000,5,72
Full Stack Developer,8,2,8,7,6,3,1,4,1,5,7,9,9,6,5,3,1,5,2,1,3,5,2,2,2,1,7,3,4,5,7.27,1,Cloud Computing,Product Design,Creative,B.Sc,1,9,39,5,3,50000,6,61
Product Manager,3,2,2,6,7,7,3,2,3,6,1,2,4,5,1,4,3,3,3,5,1,2,4,3,3,10,4,2,7,3,9.17,4,AR/VR,IoT,Innovative,M.Tech,3,7,35,2,3,160000,5,81
Cloud Architect,6,6,5,1,3,2,7,4,3,3,4,3,3,4,7,8,10,7,10,9,6,6,1,3,5,9,3,3,6,2,6.25,4,AI/ML,AI/ML,Collaborative,M.Sc,5,3,18,0,1,170000,10,97
Mobile Developer,6,9,10,1,3,4,4,3,2,1,5,3,3,1,5,6,4,6,6,5,2,3,3,6,4,4,9,5,3,4,6.45,3,Web Development,Mobile Apps,Collaborative,MCA,8,8,29,8,0,200000,9,65
Cloud Architect,2,7,5,1,3,5,6,5,4,3,1,5,5,2,8,7,10,8,7,10,1,2,5,3,1,8,4,4,2,3,6.72,4,AI/ML,Blockchain,Analytical,B.Sc,2,15,48,6,3,110000,10,88
AI/ML Engineer,10,1,1,1,5,4,10,10,9,7,6,1,5,5,1,5,6,3,3,1,10,8,4,5,2,3,1,2,3,2,7.41,5,Cloud Computing,Cloud Computing,Creative,B.Tech,0,2,3,9,1,230000,10,67
Full Stack Developer,8,3,8,6,3,2,4,4,2,1,10,9,7,5,5,3,6,3,1,6,4,2,1,1,3,4,2,1,2,2,8.8,3,Product Design,AI/ML,Innovative,MCA,7,15,27,6,0,210000,6,60
Mobile Developer,3,10,8,4,1,5,1,4,1,3,6,4,1,2,3,1,1,4,5,3,4,6,1,1,1,2,9,9,4,1,6.15,1,AR/VR,AI/ML,Detail-oriented,M.Sc,0,7,44,10,1,40000,6,100
Data Scientist,7,6,4,6,2,7,7,8,4,1,7,2,1,4,1,1,3,2,4,3,5,1,6,7,6,1,1,5,10,1,6.57,2,Data Analytics,AR/VR,Detail-oriented,B.Sc,2,1,38,2,3,230000,5,100
Cybersecurity Analyst,8,8,1,3,9,5,4,3,1,1,3,3,1,1,2,4,5,2,1,4,1,6,1,3,7,9,7,6,2,1,8.95,1,IoT,Cybersecurity,Analytical,M.Tech,7,1,27,2,1,230000,8,71
Mobile Developer,4,7,8,2,1,3,2,2,5,2,7,4,4,7,1,6,3,6,4,2,1,4,4,4,3,2,8,5,6,5,9.24,5,Web Development,AR/VR,Detail-oriented,B.Sc,1,0,44,6,1,80000,7,78
Cloud Architect,1,4,3,7,2,3,3,4,1,4,3,4,5,7,7,9,10,6,10,10,3,3,4,3,1,8,3,6,1,3,9.59,4,IoT,Cloud Computing,Analytical,B.Tech,5,11,28,7,0,190000,10,94
UI/UX Designer,4,5,6,2,2,2,1,2,1,3,10,1,6,3,4,2,2,1,4,4,5,4,7,6,4,4,2,2,5,1,6.59,2,AR/VR,Mobile Apps,Innovative,B.Sc,8,9,11,2,1,90000,6,67
Data Scientist,10,3,3,7,3,3,9,9,4,1,2,3,4,1,7,3,4,4,6,1,5,4,1,10,7,4,1,3,10,4,9.13,2,Cybersecurity,AI/ML,Analytical,M.Sc,7,2,32,6,1,190000,7,98
Blockchain Developer,5,4,9,4,6,3,3,6,1,5,4,3,3,7,1,5,6,1,6,1,4,3,6,4,1,4,9,9,5,6,8.96,1,AI/ML,AI/ML,Creative,BCA,4,15,7,10,2,170000,6,91
Cloud Architect,1,4,3,5,6,4,2,5,3,2,3,2,3,2,9,10,6,8,7,8,1,4,5,3,3,10,5,1,4,3,9.12,3,Blockchain,Mobile Apps,Analytical,B.Sc,2,7,12,8,0,170000,8,64
Full Stack Developer,4,4,9,8,7,2,1,1,1,2,8,7,5,4,8,1,1,7,2,1,1,1,1,4,4,2,1,2,5,2,9.42,5,Product Design,Cybersecurity,Innovative,M.Sc,1,3,37,0,1,260000,6,78
AI/ML Engineer,7,1,6,5,3,1,10,8,7,6,1,2,4,4,5,1,4,2,4,5,8,10,4,1,4,1,2,5,3,1,7.58,5,Product Design,Web Development,Collaborative,B.Sc,1,11,12,5,1,230000,8,67
Cloud Architect,5,5,5,4,6,5,5,3,1,4,3,1,1,2,8,10,7,10,7,10,5,2,5,5,5,10,1,2,5,4,7.77,0,AI/ML,Mobile Apps,Innovative,MCA,4,5,31,6,1,130000,10,84
Product Manager,7,6,7,8,4,3,4,6,6,3,1,3,1,3,3,4,2,3,4,1,1,5,1,1,2,10,1,5,9,4,6.08,3,Product Design,AI/ML,Leadership,M.Tech,6,10,36,1,3,70000,10,73
DevOps Engineer,9,2,5,4,3,3,2,1,5,3,3,3,5,1,10,9,2,1,9,10,2,5,5,6,4,10,4,3,4,7,9.41,3,Product Design,AI/ML,Innovative,B.Sc,5,14,9,3,1,270000,10,79
Mobile Developer,5,7,8,2,5,3,1,1,1,4,9,5,1,2,1,3,4,2,1,1,5,2,1,3,1,7,9,9,4,1,8.4,2,Blockchain,Product Design,Collaborative,M.Tech,3,13,13,2,0,90000,6,77
Product Manager,5,3,6,5,5,6,2,2,4,1,3,1,5,4,1,4,5,2,3,1,2,3,4,1,2,9,4,1,9,1,7.68,5,Data Analytics,Blockchain,Detail-oriented,MCA,0,1,41,10,1,240000,8,68
Data Scientist,8,3,3,7,4,4,9,8,2,4,3,1,4,3,6,1,3,4,2,2,5,6,6,8,8,4,1,6,10,1,8.85,1,Cloud Computing,Cloud Computing,Collaborative,M.Tech,6,4,27,3,1,300000,7,72
Mobile Developer,6,6,8,4,3,5,2,2,2,3,8,5,1,3,1,3,5,3,1,7,4,4,4,3,2,4,7,6,1,6,6.57,0,Blockchain,AI/ML,Creative,M.Tech,4,11,27,4,2,230000,7,93
DevOps Engineer,6,4,4,2,1,1,1,4,3,2,2,4,6,5,8,8,1,2,10,10,4,3,7,3,1,6,1,1,4,3,9.35,1,AI/ML,Web Development,Detail-oriented,MCA,7,14,40,4,0,140000,5,99
Product Manager,7,1,1,5,3,6,2,2,3,1,1,5,2,1,5,5,2,1,4,5,5,5,6,2,5,9,2,3,8,1,9.72,4,Data Analytics,Web Development,Leadership,M.Tech,6,2,30,4,1,80000,10,79
Cloud Architect,6,5,3,1,3,6,2,6,3,5,3,1,3,3,7,9,10,9,9,8,1,3,1,6,1,7,1,5,6,4,8.47,4,Blockchain,IoT,Leadership,B.Tech,2,4,0,3,0,300000,5,72
Data Scientist,10,1,6,6,4,3,7,6,3,5,2,4,2,6,1,1,5,6,7,1,8,6,7,8,10,2,5,3,10,2,7.98,5,Blockchain,AR/VR,Collaborative,M.Tech,0,5,18,3,3,150000,8,74
UI/UX Designer,5,5,6,4,4,3,4,1,3,1,10,2,5,2,4,1,3,2,4,1,4,3,1,4,4,3,3,2,7,1,9.71,3,AR/VR,Web Development,Analytical,M.Sc,1,1,32,1,1,240000,5,73
